entity,year,Won.or.not.,tconst,titleType,originalTitle,isAdult,endYear,runtimeMinutes,genres,averageRating,numVotes
The Last King of Scotland,2006,FALSE,tt0455590,movie,The Last King of Scotland,0,\N,123,"Biography,Drama,History",7.7,163429
The Lives of Others,2007,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Lord Of The Rings: The Fellowship Of The Ring,2001,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Lord Of The Rings: The Return Of The King,2003,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Lord Of The Rings: The Two Towers,2002,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Motorcycle Diaries (Diarios De Motocicleta),2004,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Pianist,2002,TRUE,tt0253474,movie,The Pianist,0,\N,150,"Biography,Drama,Music",8.5,624841
The Queen,2006,TRUE,tt0436697,movie,The Queen,0,\N,103,"Biography,Drama,History",7.3,96641
The Reader,2008,FALSE,tt0976051,movie,The Reader,0,\N,124,"Drama,Romance",7.6,215082
The Revenant,2015,TRUE,tt1663202,movie,The Revenant,0,\N,156,"Action,Adventure,Biography",8,599958
The Shape of Water,2017,FALSE,tt5580390,movie,The Shape of Water,0,\N,123,"Adventure,Drama,Fantasy",7.4,285813
The Sixth Sense,1999,FALSE,tt0167404,movie,The Sixth Sense,0,\N,107,"Drama,Mystery,Thriller",8.1,829968
The Social Network,2010,FALSE,tt1285016,movie,The Social Network,0,\N,120,"Biography,Drama",7.7,559929
The Talented Mr Ripley,1999,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Theory Of Everything,2014,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Truman show,1998,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
There WIll Be Blood,2007,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Three Billboards Outside Ebbing, Missouri",2017,TRUE,tt5027774,movie,"Three Billboards Outside Ebbing, Missouri",0,\N,115,"Comedy,Crime,Drama",8.2,318294
Tinker Tailor Soldier Spy,2011,FALSE,tt1340800,movie,Tinker Tailor Soldier Spy,0,\N,122,"Drama,Mystery,Thriller",7.1,172712
Titanic,1997,FALSE,tt0120338,movie,Titanic,0,\N,194,"Drama,Romance",7.8,934172
True Grit,2010,FALSE,tt1403865,movie,True Grit,0,\N,110,"Adventure,Drama,Western",7.6,279017
Up In The Air,2009,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vera Drake,2004,FALSE,tt0383694,movie,Vera Drake,0,\N,125,"Crime,Drama",7.7,22224
Zero Dark Thirty,2012,FALSE,tt1790885,movie,Zero Dark Thirty,0,\N,157,"Drama,Thriller",7.4,246461
